Hour;WS;Ta
1;2.75;-12.74
2;2.74;-12.6
3;2.71;-12.59
4;2.67;-12.68
5;2.6;-12.82
6;2.55;-12.73
7;3.37;-11.69
8;3.45;-10.95
9;3.57;-9.99
10;4.19;-8.91
11;4.28;-8.55
12;4.04;-8.63
13;3.22;-9.53
14;3.49;-10.81
15;3.84;-11.17
16;3.94;-11.19
17;3.84;-11.31
18;3.75;-12.01
19;3.8;-12.92
20;3.97;-13.1
21;4.15;-13.11
22;3.62;-13.45
23;3.27;-13.77
24;3.19;-14.06
25;3.3;-14.04
26;3.39;-13.77
27;3.39;-13.57
28;3.38;-13.63
29;3.34;-13.81
30;3.37;-13.86
31;4.04;-13.27
32;3.97;-12.59
33;3.89;-11.59
34;3.94;-10.4
35;3.92;-9.65
36;4.03;-9.23
37;4.14;-9.1
38;4.1;-9.19
39;4.49;-8.89
40;4.91;-8.51
41;4.98;-8.17
42;4.59;-7.85
43;4.17;-7.56
44;4.34;-7.1
45;4.41;-6.5
46;4.04;-5.92
47;3.6;-5.5
48;3.4;-5.15
49;3.18;-4.97
50;3.2;-5.0
51;3.3;-5.09
52;3.34;-5.14
53;3.27;-5.25
54;3.31;-5.33
55;4.28;-4.85
56;4.41;-4.39
57;4.21;-3.7
58;3.8;-3.17
59;3.3;-2.77
60;2.32;-2.99
61;2.42;-4.43
62;2.55;-5.7
63;2.49;-6.29
64;2.53;-7.13
65;2.73;-8.4
66;2.95;-9.63
67;2.88;-10.15
68;2.56;-10.03
69;2.03;-10.23
70;1.68;-10.95
71;1.6;-11.7
72;1.44;-12.26
73;1.38;-12.76
74;1.49;-13.24
75;1.74;-13.5
76;2.02;-13.65
77;2.25;-13.54
78;2.34;-12.97
79;2.45;-11.33
80;3.45;-9.73
81;3.73;-8.35
82;3.99;-6.74
83;3.95;-5.36
84;3.64;-4.55
85;3.24;-4.45
86;3.48;-4.46
87;3.77;-4.1
88;3.98;-3.85
89;4.0;-3.97
90;4.08;-4.41
91;4.25;-4.73
92;4.82;-4.64
93;5.55;-4.53
94;5.47;-4.62
95;5.0;-4.71
96;4.72;-4.75
97;4.78;-4.72
98;5.05;-4.8
99;5.24;-5.01
100;5.29;-5.44
101;5.12;-6.07
102;4.97;-6.75
103;5.15;-7.06
104;5.27;-6.92
105;5.63;-6.55
106;5.47;-6.26
107;5.3;-6.17
108;4.46;-6.94
109;3.81;-9.41
110;4.28;-12.11
111;4.57;-13.35
112;4.8;-13.89
113;4.86;-14.21
114;4.7;-14.79
115;4.52;-15.84
116;4.47;-16.88
117;4.49;-17.54
118;4.4;-18.06
119;4.34;-18.54
120;4.35;-18.92
121;4.41;-19.17
122;4.48;-19.38
123;4.59;-19.61
124;4.82;-19.7
125;5.12;-19.47
126;5.49;-18.9
127;5.92;-17.43
128;5.85;-15.79
129;5.54;-14.17
130;5.14;-12.78
131;4.72;-11.95
132;4.46;-12.04
133;4.49;-13.16
134;4.83;-14.31
135;5.15;-14.68
136;5.31;-14.97
137;5.33;-15.27
138;5.17;-15.52
139;4.87;-15.84
140;5.24;-15.39
141;5.72;-14.57
142;5.21;-13.97
143;4.87;-13.45
144;4.77;-13.08
145;4.69;-12.8
146;4.86;-12.29
147;4.95;-11.99
148;5.17;-11.88
149;5.01;-11.85
150;4.8;-11.6
151;4.81;-10.88
152;4.57;-9.92
153;4.26;-8.96
154;3.92;-8.06
155;3.44;-7.34
156;2.75;-7.2
157;2.63;-8.02
158;3.05;-8.92
159;3.25;-9.07
160;3.43;-8.6
161;3.87;-7.54
162;4.35;-6.78
163;4.08;-6.65
164;3.95;-6.52
165;4.14;-6.13
166;4.23;-5.68
167;4.52;-5.27
168;4.97;-5.06
169;5.16;-5.04
170;5.42;-4.63
171;5.63;-4.15
172;5.79;-3.7
173;6.19;-3.67
174;6.73;-3.69
175;7.25;-3.59
176;7.96;-3.19
177;8.27;-2.8
178;8.41;-2.74
179;8.43;-2.88
180;9.24;-2.6
181;8.87;-2.39
182;7.48;-2.21
183;6.66;-1.79
184;6.55;-1.06
185;6.46;-0.45
186;5.92;-0.42
187;5.25;-0.68
188;4.99;-0.98
189;4.4;-1.54
190;3.73;-2.2
191;3.12;-2.54
192;2.83;-3.04
193;2.88;-3.69
194;2.98;-3.92
195;3.05;-3.91
196;3.11;-3.88
197;3.14;-3.74
198;3.21;-3.26
199;4.13;-2.31
200;4.49;-1.81
201;4.43;-1.53
202;4.26;-1.17
203;4.54;-0.83
204;5.28;-0.88
205;6.0;-1.12
206;6.46;-1.45
207;6.58;-1.64
208;6.77;-1.67
209;6.68;-1.43
210;6.62;-1.01
211;6.45;-0.65
212;5.88;-0.43
213;6.12;-0.13
214;6.61;0.03
215;6.65;-0.25
216;7.41;-0.93
217;7.24;-2.68
218;6.61;-4.98
219;6.42;-5.95
220;6.57;-6.31
221;6.76;-6.48
222;7.28;-6.44
223;7.71;-6.17
224;7.77;-6.04
225;7.84;-5.6
226;7.71;-4.77
227;7.81;-3.58
228;7.51;-2.74
229;6.22;-3.49
230;5.49;-5.22
231;5.53;-6.1
232;5.5;-6.53
233;5.32;-6.68
234;5.27;-6.55
235;5.15;-6.4
236;4.56;-6.69
237;4.0;-7.33
238;3.65;-7.89
239;3.45;-8.31
240;3.28;-8.7
241;3.08;-8.78
242;2.85;-8.71
243;2.66;-8.73
244;2.53;-8.89
245;2.45;-9.14
246;2.47;-9.17
247;3.45;-9.05
248;3.53;-9.31
249;3.24;-9.34
250;3.06;-9.1
251;2.98;-8.86
252;2.28;-9.05
253;2.25;-10.27
254;2.81;-11.49
255;3.02;-12.01
256;3.04;-12.56
257;2.95;-13.42
258;2.7;-14.53
259;2.38;-15.95
260;2.03;-17.04
261;1.61;-17.32
262;1.38;-17.23
263;1.4;-17.01
264;1.52;-16.77
265;1.51;-16.41
266;1.55;-16.13
267;1.85;-16.18
268;2.36;-16.7
269;2.89;-17.06
270;3.13;-16.05
271;3.82;-13.81
272;4.63;-12.49
273;4.42;-11.74
274;4.38;-10.74
275;4.35;-9.69
276;4.06;-9.0
277;3.61;-9.05
278;3.68;-9.83
279;3.8;-10.85
280;3.89;-12.63
281;3.86;-14.78
282;3.5;-16.23
283;2.82;-16.32
284;2.0;-15.77
285;1.13;-15.44
286;0.64;-15.81
287;1.2;-16.63
288;1.91;-17.82
289;2.35;-18.73
290;2.79;-19.3
291;3.62;-19.66
292;5.45;-19.99
293;5.75;-20.3
294;5.25;-21.1
295;4.93;-20.92
296;5.4;-20.02
297;6.07;-18.98
298;5.99;-17.6
299;6.23;-15.91
300;6.46;-14.35
